dataset,signal,auroc,auprc
squad,top_score,0.6831102040816327,0.6623547413927026
squad,margin,0.5023102040816326,0.5186239603595384
squad,combined_min,0.6379265306122449,0.6352665707411669
enterprise,top_score,0.9947878787878788,0.9205877009243028
enterprise,margin,0.9827878787878788,0.8502230696944154
enterprise,combined_min,0.9947878787878788,0.9205877009243028
