dataset,system,n_total,n_answerable,n_unanswerable,coverage_all,coverage_answerable,false_refusal_answerable,refusal_unanswerable,hallucination_unanswerable,answer_retention,balanced_abstention_accuracy,refusal_precision,refusal_recall,refusal_f1,f1_all_answerable,em_all_answerable,f1_answered_only,em_answered_only,citation_when_answered
squad,BM25,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.1582546880883926,0.018604651162790697,0.1582546880883926,0.018604651162790697,0.7627906976744186
squad,NaiveRAG,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.14085491406206893,0.018604651162790697,0.14085491406206893,0.018604651162790697,0.6837209302325581
squad,RAG+Rerank,420,215,205,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.17200491915880511,0.018604651162790697,0.17200491915880511,0.018604651162790697,0.8651162790697674
squad,AutoRAG,420,215,205,0.45476190476190476,0.6093023255813953,0.39069767441860465,0.7073170731707317,0.29268292682926833,0.6093023255813954,0.6583096993760635,0.6331877729257642,0.7073170731707317,0.6682027649769585,0.12094679123497676,0.023255813953488372,0.19086687111083972,0.030534351145038167,0.9618320610687023
enterprise,BM25,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.304530457000433,0.006097560975609756,0.304530457000433,0.006097560975609756,0.8780487804878049
enterprise,NaiveRAG,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.31639915833455945,0.006097560975609756,0.31639915833455945,0.006097560975609756,0.9573170731707317
enterprise,RAG+Rerank,183,164,19,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.3253540205989532,0.006097560975609756,0.3253540205989532,0.006097560975609756,0.9695121951219512
enterprise,AutoRAG,183,164,19,0.8743169398907104,0.9695121951219512,0.03048780487804878,0.9473684210526315,0.052631578947368474,0.9695121951219512,0.9584403080872914,0.782608695652174,0.9473684210526315,0.8571428571428571,0.3204835229775683,0.006097560975609756,0.33056162118441007,0.006289308176100629,0.9811320754716981
